# [1] = year, [2] = month, [3] = day, [4] = lunar phase,
# [5] = label (1 = full, 2 = new), 
# [6] = day of week (1 = monday, 7 = sunday) 
# 
# calculated in PST using the pyephem package.
# 
2067	1	1	0.508798	0	6
2067	1	2	0.542745	0	7
2067	1	3	0.576692	0	1
2067	1	4	0.610639	0	2
2067	1	5	0.644585	0	3
2067	1	6	0.678532	0	4
2067	1	7	0.712479	0	5
2067	1	8	0.746426	0	6
2067	1	9	0.780372	0	7
2067	1	10	0.814319	0	1
2067	1	11	0.848266	0	2
2067	1	12	0.882213	0	3
2067	1	13	0.916160	0	4
2067	1	14	0.950106	0	5
2067	1	15	0.984053	2	6
2067	1	16	0.018008	0	7
2067	1	17	0.051970	0	1
2067	1	18	0.085932	0	2
2067	1	19	0.119893	0	3
2067	1	20	0.153855	0	4
2067	1	21	0.187817	0	5
2067	1	22	0.221779	0	6
2067	1	23	0.255741	0	7
2067	1	24	0.289703	0	1
2067	1	25	0.323665	0	2
2067	1	26	0.357627	0	3
2067	1	27	0.391588	0	4
2067	1	28	0.425550	0	5
2067	1	29	0.459512	0	6
2067	1	30	0.493474	1	7
2067	1	31	0.527436	0	1
2067	2	1	0.561398	0	2
2067	2	2	0.595360	0	3
2067	2	3	0.629322	0	4
2067	2	4	0.663283	0	5
2067	2	5	0.697245	0	6
2067	2	6	0.731207	0	7
2067	2	7	0.765169	0	1
2067	2	8	0.799131	0	2
2067	2	9	0.833093	0	3
2067	2	10	0.867055	0	4
2067	2	11	0.901017	0	5
2067	2	12	0.934978	0	6
2067	2	13	0.968940	2	7
2067	2	14	0.002903	0	1
2067	2	15	0.036872	0	2
2067	2	16	0.070841	0	3
2067	2	17	0.104810	0	4
2067	2	18	0.138779	0	5
2067	2	19	0.172748	0	6
2067	2	20	0.206717	0	7
2067	2	21	0.240687	0	1
2067	2	22	0.274656	0	2
2067	2	23	0.308625	0	3
2067	2	24	0.342594	0	4
2067	2	25	0.376563	0	5
